"station_complex_id","sum_ridership"
"1","917,384"
"10","2,083,189"
"100","168,708"
"101","775,623"
"103","276,761"
"107","369,994"
"108","230,506"
"109","353,250"
"110","274,605"
"111","178,999"
"113","259,521"
"114","233,074"
"118","487,320"
"119","1,847,559"
"120","2,494,000"
"122","636,451"
"123","415,930"
"124","459,140"
"125","533,718"
"126","624,963"
"127","809,903"
"129","535,119"
"13","880,059"
"130","287,457"
"131","147,461"
"133","136,945"
"134","137,934"
"135","149,131"
"136","177,956"
"137","146,003"
"138","741,328"
"14","1,313,209"
"141","102,239"
"143","486,359"
"144","380,422"
"145","245,669"
"146","575,670"
"147","609,031"
"149","246,257"
"150","151,035"
"151","1,362,344"
"152","332,842"
"153","1,561,958"
"154","387,249"
"155","465,881"
"156","280,159"
"157","582,978"
"158","700,376"
"159","875,039"
"16","1,192,464"
"160","690,340"
"162","1,543,515"
"164","5,374,304"
"165","1,314,114"
"167","3,175,371"
"168","1,012,223"
"169","1,111,750"
"17","1,052,509"
"173","746,466"
"175","812,898"
"176","350,529"
"177","495,673"
"179","1,087,249"
"180","424,742"
"181","895,962"
"182","330,066"
"183","309,842"
"185","148,152"
"186","179,273"
"187","147,306"
"188","538,041"
"189","293,810"
"190","244,524"
"191","159,994"
"192","408,274"
"193","97,149"
"194","112,502"
"195","348,787"
"196","38,098"
"197","48,626"
"198","269,135"
"199","15,347"
"2","656,498"
"20","304,341"
"200","33,363"
"201","19,322"
"202","12,544"
"203","40,819"
"204","112,487"
"205","86,875"
"206","37,310"
"207","40,029"
"208","78,122"
"209","291,087"
"210","347,225"
"211","326,372"
"212","340,319"
"213","489,021"
"214","240,520"
"215","434,545"
"216","231,867"
"217","309,860"
"218","446,879"
"22","324,435"
"220","157,777"
"221","768,078"
"222","568,103"
"223","1,171,005"
"224","1,016,490"
"225","3,881,144"
"228","1,708,811"
"231","1,546,395"
"232","1,248,036"
"234","978,357"
"235","1,014,871"
"236","799,432"
"237","801,315"
"238","281,767"
"240","766,210"
"241","382,501"
"242","363,416"
"243","573,673"
"244","211,756"
"245","194,474"
"246","87,886"
"247","63,672"
"248","153,220"
"249","149,622"
"250","155,813"
"251","117,256"
"252","142,039"
"253","86,421"
"254","1,020,594"
"255","448,751"
"256","410,353"
"257","253,046"
"258","306,902"
"259","1,312,466"
"26","1,441,877"
"260","196,961"
"261","1,632,120"
"262","478,485"
"263","818,302"
"264","1,162,481"
"265","1,136,050"
"266","814,183"
"268","234,623"
"269","381,249"
"270","513,366"
"271","747,555"
"272","230,632"
"273","1,087,321"
"276","1,140,242"
"277","1,176,891"
"278","1,692,612"
"279","1,927,782"
"28","546,586"
"280","281,255"
"282","120,564"
"283","700,387"
"284","657,007"
"286","288,553"
"287","183,998"
"288","304,284"
"289","547,421"
"290","351,755"
"291","386,451"
"292","430,077"
"293","327,117"
"294","264,342"
"295","506,395"
"296","282,816"
"297","140,853"
"298","367,597"
"299","419,084"
"3","853,472"
"30","370,593"
"300","460,426"
"301","625,095"
"303","610,506"
"304","554,469"
"305","716,656"
"306","542,285"
"307","937,977"
"308","791,581"
"309","763,582"
"31","237,586"
"310","2,264,883"
"311","1,146,859"
"312","1,036,272"
"313","2,626,022"
"314","1,449,251"
"316","1,799,807"
"318","4,730,936"
"319","870,150"
"32","1,001,298"
"320","864,604"
"321","492,892"
"323","877,943"
"324","896,292"
"325","351,672"
"326","403,748"
"327","1,098,459"
"328","1,219,490"
"329","490,054"
"33","535,003"
"333","1,108,430"
"334","423,271"
"336","347,199"
"337","581,746"
"339","248,905"
"34","576,570"
"340","412,217"
"341","287,044"
"343","203,674"
"344","260,977"
"345","1,323,376"
"346","347,511"
"347","271,523"
"348","250,395"
"349","141,126"
"35","825,135"
"350","204,939"
"351","128,875"
"352","293,407"
"353","209,325"
"354","333,792"
"355","461,198"
"356","552,941"
"357","277,761"
"358","415,268"
"359","1,068,892"
"36","485,456"
"360","313,481"
"361","189,047"
"362","104,730"
"363","240,483"
"364","120,243"
"365","309,686"
"366","767,728"
"367","231,995"
"368","352,054"
"369","367,430"
"37","346,823"
"370","97,253"
"371","573,735"
"372","157,544"
"373","242,097"
"374","108,670"
"375","150,607"
"376","275,099"
"377","467,808"
"378","365,536"
"379","402,512"
"38","752,118"
"380","300,272"
"381","493,724"
"382","535,955"
"383","301,610"
"384","501,006"
"385","313,263"
"386","253,500"
"387","405,437"
"388","500,869"
"39","325,410"
"391","238,824"
"392","1,439,450"
"393","775,619"
"394","589,011"
"395","751,222"
"396","1,032,193"
"397","2,863,650"
"398","1,722,042"
"399","1,482,431"
"4","774,680"
"403","1,649,685"
"404","1,201,164"
"405","1,600,304"
"407","1,039,705"
"409","908,416"
"41","607,626"
"413","980,127"
"414","1,305,482"
"416","219,297"
"417","141,527"
"418","188,841"
"419","150,169"
"42","663,968"
"420","141,712"
"421","306,833"
"422","131,555"
"423","216,626"
"424","370,849"
"425","125,929"
"426","469,057"
"427","313,909"
"428","337,790"
"429","231,220"
"43","330,501"
"430","399,559"
"431","179,694"
"432","341,243"
"433","294,726"
"434","1,119,578"
"436","168,247"
"437","172,944"
"438","667,198"
"439","887,542"
"44","821,817"
"440","577,867"
"441","455,331"
"442","215,639"
"443","139,936"
"444","208,189"
"445","159,274"
"446","143,452"
"447","3,365,985"
"448","467,656"
"449","921,540"
"45","210,583"
"450","1,250,829"
"451","1,662,630"
"452","1,135,483"
"453","940,844"
"455","178,277"
"456","1,072,152"
"457","192,696"
"458","911,457"
"459","632,744"
"46","346,816"
"460","582,787"
"461","891,867"
"463","251,973"
"464","1,118,483"
"47","562,171"
"471","1,862,125"
"475","1,144,290"
"476","1,633,896"
"477","1,912,986"
"48","182,337"
"49","298,112"
"5","423,787"
"50","319,516"
"51","1,091,924"
"52","380,380"
"53","251,733"
"54","684,378"
"55","621,031"
"56","160,900"
"57","133,407"
"58","778,238"
"59","367,774"
"6","266,276"
"60","261,520"
"601","3,055,458"
"602","6,509,076"
"603","660,401"
"604","1,212,888"
"605","1,331,810"
"606","1,651,587"
"607","6,953,601"
"608","811,907"
"609","3,647,401"
"61","196,928"
"610","9,444,328"
"611","12,334,083"
"612","3,503,109"
"613","3,150,508"
"614","4,642,895"
"615","293,212"
"616","3,758,544"
"617","2,883,126"
"618","3,122,117"
"619","2,838,001"
"62","107,426"
"620","1,620,095"
"621","537,196"
"622","1,590,176"
"623","3,195,443"
"624","3,630,182"
"625","2,037,616"
"626","954,138"
"627","330,495"
"628","5,259,603"
"629","1,172,628"
"630","1,382,387"
"635","1,751,432"
"636","2,217,263"
"64","301,793"
"65","386,597"
"66","359,953"
"67","298,537"
"68","438,243"
"69","243,202"
"70","170,334"
"71","718,048"
"72","400,640"
"74","308,293"
"75","260,082"
"76","414,148"
"77","342,209"
"78","242,054"
"79","143,661"
"8","1,097,313"
"80","137,941"
"81","141,032"
"82","159,495"
"83","291,021"
"84","201,308"
"85","194,927"
"86","67,910"
"87","254,928"
"88","164,208"
"89","136,604"
"9","2,336,813"
"90","184,405"
"91","127,372"
"93","187,059"
"94","391,890"
"95","429,355"
"96","376,586"
"97","754,203"
"98","518,623"
"99","277,935"
