OBJECTID,GTFS_Stop_ID,Station_ID,Complex_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,GTFS_Latitude,GTFS_Longitude,North_Direction_Label,South_Direction_Label,Fare_Evasion,Ridership,Evasion_Percentage
1,R01,1,1,BMT,Astoria,Astoria-Ditmars Blvd,Q,N W,Elevated,40.775036,-73.912034,Last Stop,Manhattan,,917384,
2,R03,2,2,BMT,Astoria,Astoria Blvd,Q,N W,Elevated,40.770258,-73.917843,Astoria,Manhattan,,656498,
3,R04,3,3,BMT,Astoria,30 Av,Q,N W,Elevated,40.766779,-73.921479,Astoria,Manhattan,1,853472,0.000117168
4,R05,4,4,BMT,Astoria,Broadway,Q,N W,Elevated,40.76182,-73.925508,Astoria,Manhattan,,774680,
5,R06,5,5,BMT,Astoria,36 Av,Q,N W,Elevated,40.756804,-73.929575,Astoria,Manhattan,,423787,
6,R08,6,6,BMT,Astoria,39 Av-Dutch Kills,Q,N W,Elevated,40.752882,-73.932755,Astoria,Manhattan,1,266276,0.00037555
7,R11,7,613,BMT,Astoria,Lexington Av/59 St,M,N R W,Subway,40.76266,-73.967258,Queens,Downtown,19,3150508,0.000603077
8,R13,8,8,BMT,Astoria,5 Av/59 St,M,N R W,Subway,40.764811,-73.973347,Queens,Downtown,2,1097313,0.000182263
9,R14,9,9,BMT,Broadway - Brighton,57 St-7 Av,M,N Q R W,Subway,40.764664,-73.980658,Uptown,Downtown,12,2336813,0.00051352
10,R15,10,10,BMT,Broadway - Brighton,49 St,M,N R W,Subway,40.759901,-73.984139,Uptown,Downtown,5,2083189,0.000240017
11,R16,11,611,BMT,Broadway - Brighton,Times Sq-42 St,M,N Q R W,Subway,40.754672,-73.986754,Uptown,Downtown,40,12334083,0.000324305
12,R17,12,607,BMT,Broadway - Brighton,34 St-Herald Sq,M,N Q R W,Subway,40.749567,-73.98795,Uptown,Downtown,,6953601,
13,R18,13,13,BMT,Broadway - Brighton,28 St,M,R W,Subway,40.745494,-73.988691,Uptown,Downtown,4,880059,0.000454515
14,R19,14,14,BMT,Broadway - Brighton,23 St,M,R W,Subway,40.741303,-73.989344,Uptown,Downtown,23,1313209,0.001751435
15,R20,15,602,BMT,Broadway - Brighton,14 St-Union Sq,M,N Q R W,Subway,40.735736,-73.990568,Uptown,Downtown,91,6509076,0.001398048
16,R21,16,16,BMT,Broadway - Brighton,8 St-NYU,M,R W,Subway,40.730328,-73.992629,Uptown,Downtown,2,1192464,0.00016772
17,R22,17,17,BMT,Broadway - Brighton,Prince St,M,R W,Subway,40.724329,-73.997702,Uptown,Downtown,3,1052509,0.000285033
18,R23,18,623,BMT,Broadway,Canal St,M,R W,Subway,40.719527,-74.001775,Uptown,Downtown,0,3195443,0
19,Q01,19,623,BMT,Manhattan Bridge,Canal St,M,N Q,Subway,40.718383,-74.00046,Uptown,Downtown,4,3195443,0.000125178
20,R24,20,20,BMT,Broadway,City Hall,M,R W,Subway,40.713282,-74.006978,Uptown,Downtown,1,304341,0.000328579
21,R25,21,624,BMT,Broadway,Cortlandt St,M,R W,Subway,40.710668,-74.011029,Uptown,Downtown,4,3630182,0.000110187
22,R26,22,22,BMT,Broadway,Rector St,M,R W,Subway,40.70722,-74.013342,Uptown,Downtown,,324435,
23,R27,23,635,BMT,Broadway,Whitehall St-South Ferry,M,R W,Subway,40.703087,-74.012994,Uptown,Downtown,1,1751432,5.71E-05
24,R28,24,620,BMT,Broadway,Court St,Bk,R,Subway,40.6941,-73.991777,Manhattan,Southbound,3,1620095,0.000185174
25,R29,25,636,BMT,Broadway,Jay St-MetroTech,Bk,R,Subway,40.69218,-73.985942,Manhattan,Southbound,2,2217263,9.02E-05
26,R30,26,26,BMT,Broadway - Brighton,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824,Manhattan,Southbound,36,1441877,0.002496746
27,R31,27,617,BMT,4th Av,Atlantic Av-Barclays Ctr,Bk,D N R,Subway,40.683666,-73.97881,Manhattan,Southbound,10,2883126,0.000346846
28,R32,28,28,BMT,4th Av,Union St,Bk,R,Subway,40.677316,-73.98311,Manhattan,Southbound,15,546586,0.002744307
29,R33,29,608,BMT,4th Av,4 Av-9 St,Bk,R,Subway,40.670847,-73.988302,Manhattan,Southbound,15,811907,0.001847502
30,R34,30,30,BMT,4th Av,Prospect Av,Bk,R,Subway,40.665414,-73.992872,Manhattan,Southbound,9,370593,0.00242854
31,R35,31,31,BMT,4th Av,25 St,Bk,R,Subway,40.660397,-73.998091,Manhattan,Southbound,11,237586,0.004629903
32,R36,32,32,BMT,4th Av,36 St,Bk,D N R,Subway,40.655144,-74.003549,Manhattan,Southbound,16,1001298,0.001597926
33,R39,33,33,BMT,4th Av,45 St,Bk,R,Subway,40.648939,-74.010006,Manhattan,Southbound,3,535003,0.000560744
34,R40,34,34,BMT,4th Av,53 St,Bk,R,Subway,40.645069,-74.014034,Manhattan,Southbound,18,576570,0.003121911
35,R41,35,35,BMT,4th Av,59 St,Bk,N R,Subway,40.641362,-74.017881,Manhattan,Southbound,12,825135,0.001454307
36,R42,36,36,BMT,4th Av,Bay Ridge Av,Bk,R,Subway,40.634967,-74.023377,Manhattan,Bay Ridge,3,485456,0.000617976
37,R43,37,37,BMT,4th Av,77 St,Bk,R,Subway,40.629742,-74.02551,Manhattan,Bay Ridge,,346823,
38,R44,38,38,BMT,4th Av,86 St,Bk,R,Subway,40.622687,-74.028398,Manhattan,Bay Ridge,4,752118,0.000531831
39,R45,39,39,BMT,4th Av,Bay Ridge-95 St,Bk,R,Subway,40.616622,-74.030876,Manhattan,Last Stop,1,325410,0.000307305
40,D24,40,617,BMT,Broadway - Brighton,Atlantic Av-Barclays Ctr,Bk,B Q,Subway,40.68446,-73.97689,Manhattan,Southbound,79,2883126,0.002740081
41,D25,41,41,BMT,Broadway - Brighton,7 Av,Bk,B Q,Subway,40.67705,-73.972367,Manhattan,Southbound,5,607626,0.000822875
42,D26,42,42,BMT,Broadway - Brighton,Prospect Park,Bk,B Q S,Open Cut,40.661614,-73.962246,Northbound,Southbound,126,663968,0.018976819
43,D27,43,43,BMT,Broadway - Brighton,Parkside Av,Bk,Q,Open Cut,40.655292,-73.961495,Manhattan,Southbound,6,330501,0.001815426
44,D28,44,44,BMT,Broadway - Brighton,Church Av,Bk,B Q,Open Cut,40.650527,-73.962982,Manhattan,Southbound,54,821817,0.006570806
45,D29,45,45,BMT,Broadway - Brighton,Beverley Rd,Bk,Q,Open Cut,40.644031,-73.964492,Manhattan,Southbound,3,210583,0.001424616
46,D30,46,46,BMT,Broadway - Brighton,Cortelyou Rd,Bk,Q,Open Cut,40.640927,-73.963891,Manhattan,Southbound,3,346816,0.000865012
47,D31,47,47,BMT,Broadway - Brighton,Newkirk Plaza,Bk,B Q,Open Cut,40.635082,-73.962793,Manhattan,Southbound,7,562171,0.001245173
48,D32,48,48,BMT,Broadway - Brighton,Avenue H,Bk,Q,Open Cut,40.62927,-73.961639,Manhattan,Southbound,2,182337,0.00109687
49,D33,49,49,BMT,Broadway - Brighton,Avenue J,Bk,Q,Open Cut,40.625039,-73.960803,Manhattan,Southbound,17,298112,0.005702555
50,D34,50,50,BMT,Broadway - Brighton,Avenue M,Bk,Q,Open Cut,40.617618,-73.959399,Manhattan,Southbound,,319516,
51,D35,51,51,BMT,Broadway - Brighton,Kings Hwy,Bk,B Q,Open Cut,40.60867,-73.957734,Manhattan,Southbound,57,1091924,0.005220144
52,D37,52,52,BMT,Broadway - Brighton,Avenue U,Bk,Q,Open Cut,40.5993,-73.955929,Manhattan,Southbound,14,380380,0.00368053
53,D38,53,53,BMT,Broadway - Brighton,Neck Rd,Bk,Q,Open Cut,40.595246,-73.955161,Manhattan,Southbound,4,251733,0.001588985
54,D39,54,54,BMT,Broadway - Brighton,Sheepshead Bay,Bk,B Q,Open Cut,40.586896,-73.954155,Manhattan,Southbound,9,684378,0.001315063
55,D40,55,55,BMT,Broadway - Brighton,Brighton Beach,Bk,B Q,Elevated,40.577621,-73.961376,Manhattan,Southbound,36,621031,0.005796812
56,D41,56,56,BMT,Broadway - Brighton,Ocean Pkwy,Bk,Q,Elevated,40.576312,-73.968501,Manhattan,Coney Island,11,160900,0.006836544
57,D42,57,57,BMT,Broadway - Brighton,W 8 St-NY Aquarium,Bk,F Q,Elevated,40.576127,-73.975939,Manhattan,Coney Island,3,133407,0.002248758
58,D43,58,58,BMT,Sea Beach / West End / Culver / Brighton,Coney Island-Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.981233,Manhattan,Last Stop,175,778238,0.022486694
59,B12,59,59,BMT,West End,9 Av,Bk,D,Open Cut,40.646292,-73.994324,Manhattan,Southbound,6,367774,0.001631437
60,B13,60,60,BMT,West End,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304,Manhattan,Southbound,33,261520,0.012618538
