borough,gtfs_stop_id,documented_station_names,documented_routes,total
Bx,416,138 ST.-GRAND CONCOURSE,4 5,35
Bx,222,149 ST.-GRAND CONCOURSE,2 5,1
Bx,415,149 ST.-GRAND CONCOURSE,4,212
Bx,414,161 ST.-YANKEE STADIUM,4,131
Bx,D11,161 ST.-YANKEE STADIUM,"B,D",220
Bx,413,167 STREET,4,5
Bx,D10,167 STREET,"B,D",33
Bx,412,170 STREET,4,182
Bx,D09,170 STREET,"B,D",118
Bx,D08,174-175 STREETS,"B,D",20
Bx,410,176 STREET,4,14
Bx,D06,182-183 STREETS,"B,D",18
Bx,408,183 STREET,4,79
Bx,D01,205 ST.-NORWOOD,D,14
Bx,207,219 STREET,"2,5",5
Bx,206,225 STREET,"2,5",1
Bx,205,233 STREET,"2,5",1
Bx,204,238 ST.-NEREID AVE.,"2,5",9
Bx,201,241 ST.-WAKEFIELD,2,16
Bx,619,3 AVENUE-138 STREET,6,28
Bx,221,3 AVENUE-149 STREET,"2,5",283
Bx,210,ALLERTON AVENUE,"2,5",9
Bx,502,BAYCHESTER AVENUE,5,1
Bx,D03,BEDFORD PK. BLVD.,"B,D",54
Bx,405,BEDFORD PK. BLVD.-LEHMAN COLLEGE,4,10
Bx,212,BRONX PARK EAST,"2,5",33
Bx,618,BROOK AVENUE,6,73
Bx,602,BUHRE AVENUE,6,3
Bx,209,BURKE AVENUE,"2,5",3
Bx,409,BURNSIDE AVENUE,4,137
Bx,607,CASTLE HILL AVENUE,6,26
Bx,617,CYPRESS AVENUE,6,18
Bx,501,DYRE AVE.-EASTCHESTER,5,2
Bx,616,EAST 143 ST.-ST. MARYS STREET,6,32
Bx,615,EAST 149 STREET,6,77
Bx,215,EAST 174 STREET,"2,5",44
Bx,608,EAST 177 ST.-PARKCHESTER,6,50
Bx,213,EAST 180 STREET,"2,5",151
Bx,604,EAST TREMONT AV.-WESTCHESTER SQ.,6,18
Bx,214,EAST TREMONT AVE.-WEST FARMS SQ.,"2,5",27
Bx,611,ELDER AVENUE,6,61
Bx,D05,Fordham Rd/Grand Concource,"B,D",291
Bx,407,FORDHAM ROAD,4,63
Bx,216,FREEMAN STREET,"2,5",7
Bx,208,GUN HILL ROAD,"2,5",83
Bx,503,GUN HILL ROAD,"2,6",11
Bx,613,HUNTS POINT AVENUE,6,259
Bx,218,INTERVALE AVENUE,"2,5",6
Bx,220,JACKSON AVENUE,"2,5",44
Bx,406,KINGSBRIDGE ROAD,4,45
Bx,D04,KINGSBRIDGE ROAD,"B,D",171
Bx,614,LONGWOOD AVENUE,6,17
Bx,402,MOSHOLU PKWY.,4,10
Bx,411,MT. EDEN AVENUE,4,10
Bx,601,PELHAM BAY PARK,6,1
Bx,211,PELHAM PKWY.,"2,5",23
Bx,504,PELHAM PKWY.,5,5
Bx,219,PROSPECT AVENUE,"2,5",74
Bx,217,SIMPSON STREET,"2,5",65
Bx,610,SOUNDVIEW AVENUE,6,47
Bx,609,ST. LAWRENCE AVENUE,6,26
Bx,D07,TREMONT AVENUE,"B,D",269
Bx,612,WHITLOCK AVENUE,6,13
Bx,401,WOODLAWN,4,48
Bx,606,ZEREGA AVENUE,6,27
