borough,gtfs_stop_id,documented_station_names,documented_routes,total
Bk,F25,15 ST.-PROSPECT PARK,"F,G",1
Bk,B19,18 AVENUE,D,25
Bk,N05,18 AVENUE,N,1
Bk,B20,20 AVENUE,D,2
Bk,N06,20 AVENUE,N,13
Bk,B22,25 AVENUE,D,1
Bk,R35,25 STREET,R,11
Bk,R36,36 STREET,"D,N,R",16
Bk,F23,4 AVENUE-9 STREET,"F,G",20
Bk,R39,45 STREET,R,3
Bk,R40,53 STREET,R,18
Bk,R41,59 STREET,"N,R",12
Bk,B16,62 STREET,D,5
Bk,F24,7 AVENUE,"F,G",20
Bk,B17,71 STREET,D,1
Bk,B18,79 STREET,D,8
Bk,D25,7th AVENUE,"B,Q",5
Bk,N02,8 AVENUE,N,34
Bk,N10,86 STREET,N,1
Bk,R44,86 STREET,R,4
Bk,B12,9 AVENUE,D,6
Bk,R45,95 STREET-BAY RIDGE,R,1
Bk,R33,9th STREET,R,15
Bk,235,ATLANTIC AVENUE,"2,3,4,6",508
Bk,D24,ATLANTIC AVENUE,"B,Q",79
Bk,L24,ATLANTIC AVENUE,L,5
Bk,D32,"AVENUE ""H""",Q,2
Bk,F31,"AVENUE ""I""",F,1
Bk,D33,"AVENUE ""J""",Q,17
Bk,,"AVENUE ""M""",Q,14
Bk,F34,"AVENUE ""P""",F,5
Bk,F36,"AVENUE ""U""",F,2
Bk,D37,"AVENUE ""U""",Q,14
Bk,B23,BAY 50 STREET,D,13
Bk,B21,BAY PARKWAY,D,33
Bk,N07,BAY PARKWAY,N,21
Bk,R42,BAY RIDGE AVENUE,R,3
Bk,L08,BEDFORD AVENUE,L,167
Bk,G33,BEDFORD-NOSTRAND AVENUES,G,29
Bk,236,BERGEN STREET,"2,3",3
Bk,F20,BERGEN STREET,"F,G",18
Bk,D29,BEVERLEY ROAD,Q,3
Bk,245,BEVERLY ROAD,"2,3",10
Bk,232,BOROUGH HALL,"2,3",11
Bk,423,BOROUGH HALL,"4,5",11
Bk,S04,BOTANIC GARDEN,S,22
Bk,D40,BRIGHTON BEACH,"B,Q",36
Bk,A51,BROADWAY-EAST NEW YORK,"A,C",39
Bk,J27,BROADWAY-EASTERN PKWY,"J,Z",3
Bk,L22,BROADWAY-EASTERN PKWY,L,3
Bk,L21,BUSHWICK AVE.-ABERDEEN ST.,L,3
Bk,F21,CARROLL STREET,"F,G",12
Bk,J28,CHAUNCEY STREET,"J,Z",2
Bk,244,CHURCH AVENUE,"2,5",107
Bk,D28,CHURCH AVENUE,"B,Q",54
Bk,F27,CHURCH AVENUE,"F,G",7
Bk,G34,CLASSON AVENUE,G,14
Bk,A44,CLINTON-WASHINGTON AVENUES,A44,22
Bk,G35,CLINTON-WASHINGTON AVENUES,G35,7
Bk,D30,CORTELYOU ROAD,Q,3
Bk,R28,COURT STREET,R,3
Bk,R30,DEKALB AVENUE,"B,Q,R",36
Bk,L16,DEKALB AVENUE,L,14
Bk,F29,DITMAS AVENUE,F,4
Bk,L28,EAST 105 STREET,L,3
Bk,238,EASTERN PKWY-BROOKLYN MUSEUM,"2,4",9
Bk,A55,EUCLID AVENUE,"A,C",2
Bk,247,FLATBUSH AVE.-BROOKLYN COLLEGE,"2,6",81
Bk,G31,FLUSHING AVENUE,G,6
Bk,M12,FLUSHING AVENUE,"J,M",12
Bk,B13,FORT HAMILTON PKWY,D,33
Bk,F26,FORT HAMILTON PKWY,"F,G",1
Bk,239,FRANKLIN AVENUE,,72
Bk,A45,FRANKLIN AVENUE,C,15
Bk,S01,FRANKLIN AVENUE,S,1
Bk,G36,FULTON STREET,G,21
Bk,J30,GATES AVENUE,"J,Z",4
Bk,L11,GRAHAM AVENUE,L,2
Bk,237,GRAND ARMY PLAZA,"2,4",12
Bk,L12,GRAND STREET,L,18
Bk,A57,GRANT AVENUE,A,29
Bk,G26,GREENPOINT AVENUE,G,3
Bk,J29,HALSEY STREET,L,5
Bk,M14,HEWES STREET,"J,M",21
Bk,A40,HIGH STREET,"A,C",11
Bk,233,HOYT STREET,"2,4",21
Bk,A42,HOYT-SCHERMERHORN,"A,C,G",35
Bk,A41,JAY STREET-BOROUGH HALL,"A,C,F",94
Bk,L15,JEFFERSON STREET,L,28
Bk,254,JUNIUS STREET,3,46
Bk,D35,KINGS HIGHWAY,"B,Q",57
Bk,F35,KINGS HIGHWAY,F,10
Bk,N08,KINGS HIGHWAY,N,5
Bk,249,KINGSTON AVENUE,3,14
Bk,A47,KINGSTON-THROOP AVENUES,C,26
Bk,J31,KOSCIUSKO STREET,J,6
Bk,A43,LAFAYETTE AVENUE,C,7
Bk,R29,LAWRENCE STREET,R,2
Bk,A52,LIBERTY AVENUE,C,8
Bk,L26,LIVONIA AVENUE,L,2
Bk,M13,LORIMER STREET,"J,M",2
Bk,L10,LORIMER STREET,L,72
Bk,M16,MARCY AVENUE,"J,M,Z",16
Bk,G29,METROPOLITAN AVENUE,G,16
