borough,gtfs_stop_id,documented_station_names,documented_routes,total
M,L06,1 AVENUE,L,226
M,119,103 STREET,1,15
M,624.,103 STREET,6,25
M,A18,103 STREET,"B,C",4
M,118,110 ST.-CATHEDRAL PKWY.,1,24
M,A17,110 ST.-CATHEDRAL PKWY.,"B,C",9
M,227,110 ST.-CENTRAL PARK NORTH,"2,3",161
M,623,110 STREET,6,27
M,116,116 ST.-COLUMBIA UNIVERSITY,1,33
M,226,116 STREET,"2,3",94
M,622,116 STREET,6,38
M,A16,116 STREET,"B,C",7
M,116,125 STREET,1,84
M,225,125 STREET,"2,3",119
M,621,125 STREET,"4,5,6",177
M,A15,125 STREET,"A,B,C,D",172
M,224,135 STREET,"2,3",149
M,A14,135 STREET,"B,C",13
M,115,137 ST.-CITY COLLEGE,1,89
M,L03,14 ST.-UNION SQUARE,L,54
M,132,14 STREET,"1,2,3",30
M,635,14 STREET,"4,5,6",835
M,A31,14 STREET,"A,C,E",134
M,D19,14 STREET,"F,M",21
M,R20,14 STREET,"N,Q,R",91
M,114,145 STREET,1,43
M,302,145 STREET,3,19
M,A12,145 STREET,"A,C",68
M,D13,145 STREET,"B,D",67
M,301,148 ST.-HARLEM,3,5
M,D12,155 STREET,"B,D",66
M,A11,155 STREET,C,9
M,113,157 STREET,1,29
M,A10,163 ST.-AMSTERDAM AVE.,C,17
M,112,168 ST.-WASHINGTON HTS.,1,23
M,A09,168 ST.-WASHINGTON HTS.,"A,C",65
M,A07,175 STREET,A,72
M,131,18 STREET,1,2
M,111,181 STREET,1,9
M,A06,181 STREET,A,2
M,A05,190 STREET,A,3
M,110,191 STREET,1,17
M,F14,2 AVENUE,F,148
M,109,200 ST.-DYCKMAN ST.,1,40
M,A03,200 ST.-DYCKMAN ST.,A,12
M,A02,207 ST.-INWOOD,A,14
M,108,207 STREET,1,2
M,130,23 STREET,1,1
M,623,23 STREET-BARUCH COLLEGE,6,148
M,A30,23 STREET,"C,E",4
M,D18,23 STREET,"F,M",15
M,R19,23 STREET,"R,W",23
M,103,238 STREET,1,2
M,101,242 ST.-VAN CORTLANDT PARK,1,4
M,129,28 STREET,1,4
M,633,28 STREET,6,285
M,R18,28 STREET,"R,W",4
M,L05,3 AVENUE,L,9
M,632,33 STREET,6,109
M,D17,34 ST.-HERALD SQ.,"B,D,F",153
M,128,34 ST.-PENN STATION,"1,2,3",248
M,A28,34 ST.-PENN STATION,"A,C,E",126
M,726,34 STREET,7,20
M,D17,34 STREET,"M,N,Q,R",14
M,631,42 ST.-GRAND CENTRAL,"4,5,6",424
M,723,42 ST.-GRAND CENTRAL,7,28
M,901,42 ST.-GRAND CENTRAL,S,351
M,A27,42 ST.-PORT AUTHORITY BUS TERMINAL,"A,C,E",1120
M,127,42 ST.-TIMES SQUARE,"1,2,3",255
M,725,42 ST.-TIMES SQUARE,7,20
M,R16,42 ST.-TIMES SQUARE,"N,Q,R",40
M,902,42 ST.-TIMES SQUARE,S,97
M,D16,42 STREET,"B,D,F,M",154
M,D15,47-50 STS./ROCKEFELLER CTR.,"B,D,F,M",154
M,R15,49 STREET,"N,Q,R",5
M,724,5 AVENUE,7,11
M,F12,5 AVENUE,"E,M",13
M,R13,5 AVENUE,"N,Q,R",2
M,126,50 STREET,1,41
M,A25,50 STREET,"C,E",40
M,630,51 STREET,6,108
M,B10,57 STREET,F,19
M,R14,57 STREET,"N,Q,R",12
M,125,59 ST.-COLUMBUS CIRCLE,1,288
M,A24,59 ST.-COLUMBUS CIRCLE,"A,B,C,D",251
M,629,59 STREET,"4,5,6",100
M,L02,6 AVENUE,L,7
M,124,66 ST.-LINCOLN CENTER,1,18
M,628,68 ST.-HUNTER COLLEGE,6,153
M,D14,7 AVENUE,"B,D,E",6
M,123,72 STREET,"1,2,3",64
M,A22,72 STREET,"B,C",3
M,Q03,72ND STREET,Q,39
M,627,77 STREET,6,54
M,122,79 STREET,1,1
M,L01,8 AVENUE,L,2
M,R21,8 ST.-NYU,"N,R",2
M,A21,81 ST.-MUSEUM OF NATURAL HISTORY,"B,C",2
M,121,86 STREET,1,4
M,626,86 STREET,"4,5,6",122
M,A20,86 STREET,"B,C",17
M,Q04,86TH STREET,Q,27
M,120,96 STREET,"1,2,3",90
M,625,96 STREET,6,13
M,A19,96 STREET,"B,C",7
M,Q05,96TH STREET,Q,16
M,636,ASTOR PLACE,6,22
M,637,BLEECKER STREET,6,81
M,M19,BOWERY,"J,Z",10
M,420,BOWLING GREEN,"4,5",1
M,M23,BROAD STREET,"J,Z",2
M,D21,BROADWAY/LAFAYETTE,"B,D,F,M",32
M,A38,BROADWAY/NASSAU,"A,C",334
M,640,BROOKLYN BRIDGE-CITY HALL,"4,5,6",4
M,135,CANAL STREET,1,4
M,639,CANAL STREET,6,87
M,A34,CANAL STREET,"A,C,E",18
M,M20,CANAL STREET,"J,Z",1
M,Q01,CANAL STREET,"N,Q",4
M,R23,CANAL STREET,"R,W",0
M,A36,CHAMBERS ST.-WORLD TRADE CENTER,"A,C,E",59
M,137,CHAMBERS STREET,"1,2,3",17
M,133,CHRISTOPHER ST.-SHERIDAN SQ.,1,32
M,R24,CITY HALL,R,1
M,138,CORTLANDT STREET,1,8
M,R25,CORTLANDT STREET,R,4
M,F15,DELANCEY STREET,F,98
M,F16,EAST BROADWAY,F,55
M,M18,ESSEX STREET,"J,M,Z",32
M,136,FRANKLIN STREET,1,2
M,229,FULTON STREET,"2,3",21
M,418,FULTON STREET,"4,5",137
M,M22,FULTON STREET,"J,Z",17
M,D22,GRAND STREET,"B,D",34
M,134,HOUSTON STREET,1,3
M,B08,LEXINGTON AV/63ST,"M,Q",3
M,R11,LEXINGTON AV/59 ST,"N,R,W",19
M,F11,LEXINGTON AV/53 ST,"E,F",29
M,228,PARK PLACE,"2,3",6
M,R22,PRINCE STREET,"N,R",3
M,139,RECTOR STREET,1,1
M,142,SOUTH FERRY,1,27
M,638,SPRING STREET,6,4
M,A33,SPRING STREET,"C,E",9
M,A32,W. 4 STREET,"A,C,E",45
M,D20,W. 4 STREET,"B,D,F,M",44
M,230,WALL STREET,"2,3",1
M,419,WALL STREET,"4,5",4
M,R27,WHITEHALL ST.-SOUTH FERRY,R,1
